Rang;Type de document;Nombre de prêts;Titre ;Auteur
711.0;Bande dessinée jeunesse;624.0;Halloween;Gilson, François
714.0;Bande dessinée jeunesse;623.0;L'apprentie sorcière;Clarke
721.0;Revue jeunesse;621.0;Papoum : le journal des bébés : le premier journal en forme de maison pour tous les bébés;
725.0;Nouveauté;620.0;1Q84. 3. Octobre-décembre;Murakami, Haruki
733.0;Bande dessinée jeunesse;617.0;A l'école des maléfices;Gilson, François
736.0;Bande dessinée jeunesse;616.0;SOS éléphants;Pommaux, Yvan
740.0;Nouveauté;614.0;Emmaüs : roman;Baricco, Alessandro
5.0;Revue pour ado;13626.0;Okapi;
6.0;Revue pour adulte;13211.0;Elle : l'hebdomadaire de la femme : tous les mercredis;
12.0;Revue pour adulte;7544.0;Marianne;
14.0;Revue pour adulte;7339.0;Le Nouvel observateur;
18.0;Revue pour adulte;6668.0;Paris match;
23.0;Revue jeunesse;5812.0;Les P'tites sorcières;
24.0;Revue pour adulte;5701.0;Vocable : anglais;
30.0;Revue jeunesse;4895.0;Mes premiers J'aime lire : lecteurs débutants, grande section maternelle, CP et CE1;
40.0;Revue jeunesse;4065.0;Je lis des histoires vraies;
47.0;Revue pour adulte;3617.0;La Recherche;
49.0;Revue pour adulte;3586.0;Saveurs;
51.0;Revue pour adulte;3537.0;Books : l'actualité par les livres du monde;
62.0;Revue jeunesse;2969.0;Je bouquine;
66.0;Revue jeunesse;2881.0;Mille et une histoires : 3-7 ans;
68.0;Revue pour adulte;2843.0;Marie Claire maison;
85.0;Revue pour adulte;2340.0;Détours en France : paysage, habitat, gastronomie, flore, faune;
100.0;Revue pour adulte;1992.0;Réponses photo;
102.0;Livre jeunesse;1973.0;Lili veut un téléphone portable;Saint-Mars, Dominique de
105.0;Revue jeunesse;1933.0;Je lis déjà;
120.0;Livre jeunesse;1762.0;Max et lili sont fans de marques;Saint-Mars, Dominique de
121.0;Bande dessinée jeunesse;1757.0;Lili rêve d'être une femme;Saint-Mars, Dominique de
132.0;Enregistrement musical pour la jeunesse;1658.0;Max et Lili se posent des questions sur Dieu;Saint Mars, Dominique de
139.0;Livre jeunesse;1625.0;Lili trouve sa maîtresse méchante;Saint-Mars, Dominique de
142.0;Bande dessinée jeunesse;1604.0;Les premiers de la casse;Cohen, Jacqueline
148.0;Bande dessinée jeunesse;1565.0;Le chien de Max et Lili est mort;Saint Mars, Dominique de
